,Name,Type,TTL,Value
0,_c30d82dd072cfe8451fbcb3a28eb37fa.ms.stg.globelifeinc.com.,CNAME,300,_ca270375c53212ebac3fc042de456bf5.hkmpvcwbzw.acm-validations.aws.
1,activedirectorydatamart-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
2,addressdoctor-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
3,entacctapi-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
4,muleapplogs-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
5,nbuw-agentcheck-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
6,nbuw-appnumber-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
7,nbuw-correspondence-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
8,nbuw-log-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
9,nbuw-payments-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
10,nbuw-policysub-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
11,nbuw-qac-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
12,nbuw-ratecalc-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
13,nbuw-resonant-exp.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
14,nbuw-resonant-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
15,nbuw-resonantpush-exp.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
16,ods-db-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
17,ofac-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
18,oipa-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
19,oipautility-exp.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
20,onbase-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
21,othercoverage-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
22,pasimage-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
23,paslog-sys.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
24,paspayments-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
25,pasproducer-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
26,paspush-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
27,policydetail-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
28,policysubmission-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
29,routingnumber-prc.ms.stg.globelifeinc.com.,A,N/A,dualstack.internal-mule-svc-stg-1748252757.us-west-2.elb.amazonaws.com.
